Region,Geography,Programmatic name
Australia Central,Australia,australiacentral
Australia East,Australia,australiaeast
Australia Southeast,Australia,australiasoutheast
Austria East,Austria,austriaeast
Belgium Central,Belgium,belgiumcentral
Brazil South,Brazil,brazilsouth
Canada Central,Canada,canadacentral
Canada East,Canada,canadaeast
Central India,India,centralindia
Central US,United States,centralus
Chile Central,Chile,chilecentral
Denmark East,Denmark,denmarkeast
East Asia,Asia Pacific,eastasia
East US,United States,eastus
East US 2,United States,eastus2
France Central,France,francecentral
Germany West Central,Germany,germanywestcentral
Indonesia Central,Indonesia,indonesiacentral
Israel Central,Israel,israelcentral
Italy North,Italy,italynorth
Japan East,Japan,japaneast
Japan West,Japan,japanwest
Korea Central,Korea,koreacentral
Korea South,Korea,koreasouth
Malaysia West,Malaysia,malaysiawest
Mexico Central,Mexico,mexicocentral
New Zealand North,New Zealand,newzealandnorth
North Central US,United States,northcentralus
North Europe,Europe,northeurope
Norway East,Norway,norwayeast
Poland Central,Poland,polandcentral
Qatar Central,Qatar,qatarcentral
South Africa North,South Africa,southafricanorth
South Central US,United States,southcentralus
South India,India,southindia
Southeast Asia,Asia Pacific,southeastasia
Spain Central,Spain,spaincentral
Sweden Central,Sweden,swedencentral
Switzerland North,Switzerland,switzerlandnorth
UAE North,UAE,uaenorth
UK South,United Kingdom,uksouth
UK West,United Kingdom,ukwest
West Central US,United States,westcentralus
West Europe,Europe,westeurope
West India,India,westindia
West US,United States,westus
West US 2,United States,westus2
West US 3,United States,westus3
